Sample_ID,Treatment,Variety,Sample,R460,R520,R580,R660,R710,R730,R760,R780,R810,R850,R900,BF(F440),GF(F520),RF(F690),FrF(f740)
CK1_1274_1,CK1,1274,1,0.041624,0.1743556578250491,0.1342039801549862,0.1190802123364335,0.0699724574806183,0.1470896310719358,0.2762156739951221,0.3193722115271766,0.3136734896612158,0.3373908348730394,0.3202337969813555,0.0694971498924053,0.1067064340652389,0.0784110517014716,0.2930331096181301
CK1_1274_2,CK1,1274,2,0.043812,0.1689021381047923,0.1364091665438442,0.1192172943901333,0.0690005520280401,0.1517595634488529,0.2625758508108829,0.3074823666632217,0.2937946710854502,0.3224972188585999,0.3021673990849007,0.0689463094292983,0.1024975716372611,0.0759466639180558,0.2914356487429469
CK1_1274_3,CK1,1274,3,0.040326,0.1787207761984891,0.145584818620591,0.1244444160284387,0.0704081026554007,0.1583126976283347,0.2870134319292016,0.3645435881443366,0.3478628590775037,0.3612194012646935,0.3267568826641603,0.0696464846530332,0.1069525385750501,0.0769931152329197,0.2971930086080311
CK1_1257_1,CK1,1257,1,0.036148,0.1581152858909536,0.1147790741487911,0.1076428795072899,0.0670681663563172,0.1224928615400736,0.2041415435796795,0.2085600230462159,0.2341809824590713,0.2517348766796276,0.2464059407738257,0.0640586360843967,0.092472307263735,0.0705180312812562,0.238438247818834
CK1_1257_2,CK1,1257,2,0.036744,0.1681417089570399,0.1429720196227914,0.1293537859657749,0.0829620657226786,0.1618932478903746,0.2650502763307546,0.256638198412769,0.2728410465945527,0.2929421812054011,0.2752753644053875,0.0669259231780419,0.1049129319963186,0.0784273410654146,0.2636667318922533
CK1_1257_3,CK1,1257,3,0.037044,0.1588584888689767,0.1188260866931132,0.1064652208869074,0.0680331405414557,0.1311668969117051,0.2185254239862472,0.2413629819526105,0.2499360221604803,0.2477201342075291,0.2518865605481178,0.0666660998021642,0.097162647062021,0.0758771643809594,0.261306813930999
CK1_1252_1,CK1,1252,1,0.045632,0.1764303895301273,0.143444983522738,0.1268563174886011,0.0706979125036844,0.156520372041133,0.3115715378118652,0.3526404756495846,0.3618627562759263,0.3795524517807867,0.3714840419966806,0.0714191605408594,0.0988081482612958,0.0815878614039297,0.3335947698895837
CK1_1252_2,CK1,1252,2,0.044712,0.1744255285181005,0.1449888487077695,0.1242397313937283,0.0713017714866311,0.1591343155866105,0.3225562888186715,0.4086121709364697,0.3839428841218118,0.3839074418504227,0.3674652456540223,0.070573537091104,0.0975876672012612,0.0862805617370729,0.3425685448831984
CK1_1252_3,CK1,1252,3,0.042476,0.1724828782866043,0.1307168587747269,0.1148201855908762,0.0700389137492932,0.1477246051334181,0.3166369728171419,0.3708777747607118,0.3783964553575179,0.3860658711309538,0.3500210546083072,0.0676538756347871,0.0910609415615673,0.0749329506557898,0.3067890049394145
CK1_1235_1,CK1,1235,1,0.036288,0.1548562899287108,0.1168389728329186,0.1062448342144022,0.0653787421330231,0.1324366161107405,0.2397299219262782,0.2713455479021246,0.2852869538476592,0.307733207680559,0.2787950021514973,0.0659463695356044,0.0890596678181722,0.0667879238835379,0.2716630483447233
CK1_1235_2,CK1,1235,2,0.036288,0.1508455920048733,0.1083747297454799,0.1019589700925642,0.062909388953504,0.1205050398558862,0.2142903355513969,0.255657036356078,0.2499407426965656,0.2493410949285375,0.2441125116175234,0.062684742486402,0.0912596703797798,0.0706220108503974,0.2622740804662126
