Sample_ID,Treatment,Variety,Sample,OJIP_ABS_RC,OJIP_DIo_RC,OJIP_ETo_RC,OJIP_Fm,OJIP_Fo,OJIP_Fv,OJIP_FvFm,OJIP_N,OJIP_PIabs,OJIP_Sm,OJIP_TRo_RC,OJIP_Vi,OJIP_Vj,OJIP_phiEo,OJIP_phiPo,OJIP_psiEo,D_conv,D_stress,D_recovery,Category,Rank
CK1_12_1,CK1,12,1,1.4824243243243242,0.251581081081081,0.6608405405405405,25418.783783783783,4312.702702702703,21106.08108108108,0.8303783783783782,15.124040540540545,3.330548648648649,12.32218918918919,1.230845945945946,0.8589243243243242,0.4610702702702703,0.4476702702702702,0.8303486486486487,0.5389297297297296,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
CK1_12_2,CK1,12,2,1.4408361111111112,0.2407,0.6581166666666666,27221.5,4651.502777777778,22569.99722222222,0.8323555555555555,15.453908333333333,3.676697222222222,12.980319444444444,1.2001416666666662,0.8466305555555556,0.448825,0.4591166666666666,0.8323188888888889,0.5511750000000002,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
CK1_12_3,CK1,12,3,1.4162828571428572,0.2358028571428571,0.6302942857142858,27221.5,4651.502777777778,22569.99722222222,0.8323555555555555,14.622722857142858,3.5123371428571426,12.47368299888889,1.180477142857143,0.8527742857142856,0.4638484310833333,0.4469342857142857,0.8323188888888889,0.5359828571428571,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
D1_12_1,D1,12,1,1.5707892606892606,0.4149828055913057,0.6194008404833404,13697.525416606604,3313.937901794796,10383.587514811808,0.7649111111111112,16.672515642070646,1.7295783783783782,11.50330176276276,1.279733128843129,0.8607804006149006,0.562372972972973,0.3563891891891891,0.7648783333333333,0.437627027027027,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
D1_12_2,D1,12,2,1.6109601315601318,0.4373656884741885,0.6296079726154725,13900.754395585584,3390.051265158159,10510.703130427426,0.7649111111111112,16.393539440869443,1.8176,11.362573309309308,1.2975458165308165,0.8572493195338198,0.5544222222222221,0.3616361111111111,0.7648783333333333,0.4455777777777777,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
D1_12_3,D1,12,3,2.0039950521950525,0.5680504503789504,0.6571497980122979,13777.470187807809,3379.716388602604,10397.753799205204,0.7649111111111112,15.833656028171031,1.40506,11.025039420420418,1.5598849435149436,0.8642463909623911,0.5929540895000001,0.3286799999999999,0.7648783333333333,0.4063857142857143,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
RD2_12_1,RD2,12,1,2.7719370454545453,0.5919378009259261,0.6881431666666666,13935.205519161924,2836.34115842055,11098.864360741374,0.796462193936044,25.650020856481472,1.1496832222222224,13.744540992501795,2.0537300555555555,0.8492283106141857,0.625977516111111,0.2895943553921569,0.796462193936044,0.3745712499999999,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
RD2_12_2,RD2,12,2,2.3348901704545457,0.3395422222222222,0.7922400416666666,15972.580519161924,2989.43490842055,12983.145610741374,0.8083166666666667,23.00989898148148,1.3956175972222225,13.430287867501796,1.894217555555556,0.8448908106141857,0.5615368911111109,0.3450318553921568,0.8082855555555556,0.4390118749999999,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
RD2_12_3,RD2,12,3,3.3558664204545456,0.9935292592592592,0.6616533750000001,13986.740694323213,3073.1017109366794,10913.638983386532,0.7802846439997305,24.029257939814805,0.9423475138888888,11.554214849437274,2.223552388888889,0.857484768947519,0.6670689261111112,0.2597733970588234,0.7802846439997305,0.3318335416666666,0.2649762862421151,0.2427274916209154,0.2872250808633149,Sensitive,9
CK1_73_1,CK1,73,1,1.520286486486487,0.2597378378378378,0.6849459459459459,16853.561486486487,3029.068243243243,13824.493243243243,0.8292432432432431,19.59414864864865,3.391932432432432,15.867572972972972,1.2605351351351348,0.8319189189189189,0.4520108108108109,0.4545135135135135,0.8293027027027027,0.5479891891891893,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8
CK1_73_2,CK1,73,2,1.545025,0.2598694444444445,0.6952583333333335,21437.777777777777,3608.6666666666665,17829.11111111111,0.8319999999999999,18.94854722222222,3.298361111111112,15.048577777777776,1.2851444444444446,0.8214583333333334,0.45615,0.452525,0.8319333333333333,0.5438500000000001,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8
CK1_73_3,CK1,73,3,1.7367171428571428,0.3022485714285714,0.7093240694980695,22184.82175916667,3848.674897111111,18336.14686222222,0.8261424897222223,17.322445714285713,2.359297142857143,12.187105890000002,1.4344657142857142,0.8540685714285715,0.4999699331388888,0.4125342857142857,0.8260771428571428,0.4991514285714286,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8
D1_73_1,D1,73,1,1.6420137870727876,0.3531679316459316,0.6041768850278849,13093.293978674175,2670.771193416667,10422.522785257508,0.7960199169310098,16.90441621621622,2.032736740797941,12.027121621621625,1.3007556024596023,0.853145945945946,0.5526777559506006,0.3628324324324324,0.7960199169310098,0.4473396692406692,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8
D1_73_2,D1,73,2,1.7368786519376522,0.3760131268411268,0.6489090922350922,14507.631816512014,2938.6323045277786,11568.999511984235,0.7974423157621671,18.04822222222222,1.8350694735306736,12.20015,1.3727725694265691,0.8589166666666667,0.5480853385331832,0.36475,0.7974423157621671,0.4519320866580865,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8
D1_73_3,D1,73,3,1.8943700805090808,0.4125437617617618,0.6753402827112828,16693.782794012015,3414.748559666667,13279.034234345349,0.7954478860901724,18.15012571428571,1.861295505276705,11.472707201666664,1.4937447916487916,0.8639257142857142,0.5549662284498498,0.3594885714285715,0.7954478860901724,0.4449640707850708,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8
RD2_73_1,RD2,73,1,2.6712504812834226,0.492076402833697,0.7142310625866509,14806.300709368135,2764.807513105882,12041.493196262254,0.8083166666666667,23.14159705882353,1.161036706278471,12.118422446721134,1.982411364626659,0.8543984551767676,0.6073355549770417,0.313227441012441,0.8082855555555556,0.3925763488530547,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8
RD2_73_2,RD2,73,2,3.166412245989305,0.7983352263631088,0.8090957684690038,13424.41835642696,2645.836924870588,10778.581431556371,0.8029086359928668,26.29690882352941,1.118316118043177,12.609978329074073,2.1713172469796,0.8473366904708853,0.5911737902711593,0.3160715586594997,0.8029086359928668,0.4087381135589371,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8
RD2_73_3,RD2,73,3,2.700824545454546,0.4684005561313796,0.8067959467221233,20022.05114613284,3754.622888752942,16267.4282573799,0.8083166666666667,22.39297878787879,1.2212627312339075,11.533348946427015,2.0356702772826303,0.8618629828060012,0.5787238485064534,0.3381499900320488,0.8082855555555556,0.4216028194412899,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8
CK1_1099_1,CK1,1099,1,1.6756027777777776,0.3199694444444444,0.6473,19379.277777777777,3640.694444444444,15738.583333333334,0.8132499999999999,17.995502777777777,2.5060666666666664,13.409950000000002,1.3556222222222225,0.8814972222222223,0.5092500000000001,0.4015861111111112,0.8133138888888888,0.4907499999999999,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3
CK1_1099_2,CK1,1099,2,1.616102777777778,0.2981833333333333,0.650638888888889,22372.88888888889,4013.4166666666665,18359.472222222223,0.8190000000000001,21.43486114864865,2.877475,17.878945555555557,1.3179111111111113,0.8681611111111112,0.4950944444444445,0.4155972222222222,0.8189916666666667,0.5049055555555555,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3
CK1_1099_3,CK1,1099,3,1.3326000000000002,0.2282638888888888,0.6159833333333332,27107.36111111111,4644.027777777777,22463.33333333333,0.8286111111111112,17.077519444444448,3.934861111111112,15.540469444444446,1.1043527777777775,0.8816022222222223,0.4403138888888888,0.46375,0.8285861111111111,0.5596861111111111,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3
D1_1099_1,D1,1099,1,1.821324259259259,0.3157487744887745,0.692129246961247,13530.555555555557,2479.462709931331,11051.092845624224,0.8167508569954262,21.58216592592593,2.097714614814815,15.475070555555558,1.4678482562562567,0.8587824074074072,0.5173183333333333,0.3912894444444443,0.8167508569954262,0.4826816666666666,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3
D1_1099_2,D1,1099,2,2.143049259259259,0.5202821078221078,0.6431763342628343,13797.166666666668,2616.712709931331,11180.453956735337,0.810344197968327,19.90128787037037,1.9732923925925927,12.307509444444444,1.5850454784784789,0.8650324074074072,0.5554877777777777,0.3526755555555554,0.810344197968327,0.4445122222222222,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3
D1_1099_3,D1,1099,3,1.971202037037037,0.4145709967109967,0.6646207787072789,16603.25,3295.296043264665,13307.953956735337,0.8015270478210793,15.68014620370371,1.8201951703703705,11.012013333333332,1.5188927007007007,0.8675907407407407,0.5441266666666666,0.3626616666666666,0.8015270478210793,0.4558733333333333,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3
RD2_1099_1,RD2,1099,1,3.179009225168351,0.5034979283569284,0.8021181481481481,21688.90777777778,2839.472222222222,18838.747222222224,0.8083166666666667,27.33867127738969,1.419304918489918,14.69634685472043,2.175626851851851,0.8436433333333333,0.5417612211371873,0.3675063824538825,0.8082855555555556,0.4582003842413842,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3
RD2_1099_2,RD2,1099,2,3.152567558501684,0.5374368172458172,0.741307037037037,22147.18555555556,3170.1388888888887,18838.747222222224,0.8083166666666667,22.4968823885008,1.390607696267696,12.427027410275985,2.1152185185185184,0.8637127777777779,0.5574639989149649,0.3516147157872158,0.8082855555555556,0.4424976064636064,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3
RD2_1099_3,RD2,1099,3,2.904173114057239,0.4341423728013728,0.7519487037037036,22312.24111111111,2946.388888888888,18838.747222222224,0.8083166666666667,21.405844055167464,1.5636465851565848,12.17141907694265,1.9701490740740728,0.8750294444444443,0.5308251100260759,0.3763813824538825,0.8082855555555556,0.4691364953524953,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3
CK1_1110_1,CK1,1110,1,1.4448500000000002,0.2518305555555555,0.6437805555555555,22498.722222222223,3896.4166666666665,18602.305555555555,0.8264166666666667,18.91685555555556,3.544813888888889,16.068924999999997,1.1930166666666666,0.8072900225225226,0.4548138888888889,0.4512444444444445,0.826525,0.5451861111111111,0.22321650706773,0.3435036429518976,0.1029293711835625,Sensitive,11
CK1_1110_2,CK1,1110,2,1.3194972222222223,0.2244277777777778,0.6103166666666667,18505.555555555555,3136.1944444444443,15369.361111111111,0.8297222222222221,18.5396,4.091516666666667,17.134725,1.0950694444444444,0.8072900225225226,0.4391527777777778,0.4653,0.8297416666666666,0.5608472222222223,0.22321650706773,0.3435036429518976,0.1029293711835625,Sensitive,11
CK1_1110_3,CK1,1110,3,1.5239333333333336,0.2700388888888889,0.636113888888889,18784.08333333333,3263.1666666666665,15520.916666666666,0.823861111111111,18.405072222222223,2.9628,14.978622222222224,1.2538916666666668,0.8205416666666667,0.4853,0.4243,0.8238166666666666,0.5146999999999999,0.22321650706773,0.3435036429518976,0.1029293711835625,Sensitive,11
D1_1110_1,D1,1110,1,1.6501629027599027,0.3588031181181181,0.6191408581438581,13534.545370370372,2784.267009601852,10750.27836076852,0.7942844082744642,19.8826635925926,2.351652650793651,14.572635925925928,1.3159948156728156,0.8421348106678106,0.5319224074074075,0.3899583333333333,0.7942844082744642,0.4680775925925925,0.22321650706773,0.3435036429518976,0.1029293711835625,Sensitive,11
