Sample_ID,Treatment,Variety,Sample,D_conv,D_stress,D_recovery,Category,Rank,R460,R520,R580,R660,R710,R730,R760,R780,R810,R850,R900,VI_NDVI,VI_NDRE,VI_EVI,VI_SIPI,VI_PRI,VI_MTCI,VI_GNDVI,VI_NDWI,BF(F440),GF(F520),RF(F690),FrF(f740),SR_F690_F740,SR_F440_F690,SR_F440_F520,SR_F520_F690,SR_F440_F740,SR_F520_F740,OJIP_FvFm,OJIP_PIabs,OJIP_TRo_RC,OJIP_ETo_RC,OJIP_Vi,OJIP_Vj,OJIP_ABS_RC_log,OJIP_DIo_RC_log,Trt_CK1,Trt_D1,Trt_RD2
CK1_1099_2,CK1,1100.7961090423019,1.9816083422119621,0.5321912946014531,0.3505817447429308,0.7090140257834453,Tolerant,2.816894157251588,0.042396152242221194,0.2301020479126241,0.15979070217220753,0.14468571643529923,0.08218988505119072,0.1772883470834883,0.36909846934414386,0.3911768407708293,0.4353026713201151,0.4174062111098399,0.39918577103633895,0.4813378553448843,0.6667874800294054,0.3471968719201496,0.6671920852169146,0.18130987726269013,-4.720045868526522,0.2893029565861666,0.02154372878609443,0.07247422110608408,0.11254260824269746,0.08559540378507384,0.3237963383899061,0.2633485308797419,0.8475913755121767,0.6434903441054437,1.3212765625205443,0.22061196271923417,0.34355191839531773,0.8191562030872651,2.877324699553197,1.3189597707107472,0.6501582420403599,0.8684027841993273,0.49636652591177777,0.9635683126624509,0.25958278337826246,1,0,0
RD2_1210_3,RD2,1210.0,2.6761517098387495,0.3561671112879607,0.3130108635819076,0.3993233589940138,Intermediate,7.0,0.045115135265099575,0.18193468210918334,0.18133791873090607,0.1679786525808948,0.12293558446423036,0.20762734980088063,0.33591528827107403,0.3308498795812739,0.30932209595120586,0.3496412867862335,0.3295695881762781,0.3497015004990506,0.48115166028956075,0.22488833966038468,0.5883042018782235,0.001974209629909931,-4.8978587393634605,0.3137730829336627,0.028036343135227355,0.07593977550169326,0.11847829564556116,0.10232336422987565,0.30457352898687295,0.3360374805560304,0.743265750844307,0.6409662377473032,1.1589586315560019,0.2493140847844545,0.3890160677482635,0.8089252690626849,1.3793093537726069,2.0222350222560794,0.7303004689749834,0.8591927532629037,0.5792266323094998,1.4047225269174328,0.5844435114962172,0,0,1
RD2_1274_2,RD2,1274.0,2.937805197326361,0.4106885222095553,0.5521848137280557,0.2691922306910548,Intermediate,6.0,0.04902797189037056,0.1828414867125432,0.167776155252128,0.13526622648881817,0.0941842303525924,0.1883463344872132,0.3071215044156205,0.36183548714990543,0.3466689334015441,0.38688912399530123,0.32755509967001983,0.47858996695623757,0.6047372499685784,0.34468498158718086,0.6450430752391471,0.04429216474945489,-5.2484377801019715,0.35519533387007457,0.08143761705902804,0.07061582907316458,0.108634171742463,0.07600981188669445,0.30635496578517024,0.24790551157732843,0.9308725009700406,0.6500375199929761,1.4320148562188915,0.23053108808600126,0.3546422760442634,0.8231117092574919,2.7726677681454968,1.3121267918672994,0.6733045772796504,0.8691186574601558,0.48246632642440745,0.9521419695881286,0.2554842234069175,1,0,0
D1_73_3,D1,73.0,1.8717454471900492,0.3276960420194899,0.339055735035649,0.3163363490033307,Intermediate,8.0,0.04634515218152416,0.1836335376624982,0.17708769113024825,0.16305207273301675,0.10658213491142436,0.19737903296866105,0.29480495596492184,0.3300978419670828,0.30942059385643134,0.2943968562662401,0.2710649051000122,0.2914129414606168,0.4723814106579113,0.17181540310191964,0.5444559154808417,0.014879901182495908,-3.2865730366253567,0.23446769583944543,0.042753051597279906,0.07009095865676701,0.11314212806179741,0.0877200189497022,0.28685446205592724,0.3040001201125305,0.8044302217756697,0.6968046607386551,1.2354960452206778,0.2442119270075085,0.3789600612037544,0.8027075162274433,1.466260416219212,1.769414934532949,0.6972796324396396,0.8585511275529796,0.5845091939907974,1.196897127962802,0.376293107613843,0,0,1
D1_1110_3,D1,1096.5928985153676,2.977335803431146,0.22181058918455526,0.33947206339121705,0.10435752731469135,Sensitive,10.964995187877534,0.04701825662600986,0.15358499190681216,0.16844125502957324,0.14154413570149582,0.09896495485897193,0.16836359582860824,0.23719343916873376,0.28303210606033946,0.2818877775269017,0.28406062944767974,0.2665274918956443,0.33676854546770585,0.48289092433805164,0.19798279574485647,0.5535707371178389,-0.04145096503739666,-3.288647143388159,0.2940785232594012,0.03429368182424703,0.058387279994949914,0.07486912984088279,0.08599146898806578,0.1630412369900731,0.5234251494449171,0.6784769195216508,0.7765315157987751,0.8829551953627106,0.35683350882160786,0.4568962427737494,0.803557474331271,1.7720860910458036,1.4342741285446867,0.676968774011125,0.8621684210588167,0.5422053531116288,1.0231403172615814,0.3108380509279812,0,1,0
D1_12_1,D1,12.0,1.9770185189161236,0.26497628624211517,0.2427274916209154,0.28722508086331494,Sensitive,9.0,0.0417505926699801,0.1784961702356014,0.15782674548647607,0.15339468660307187,0.08671662721332325,0.1811166196666381,0.28377921571980086,0.3241556944393549,0.3395726483562561,0.33142999744026763,0.30870419069500343,0.3673826346227513,0.5853646918465806,0.22982074794430457,0.5975741033067046,0.061765234749942326,-2.9565528124511395,0.29992981898307564,0.03549038324710032,0.060273699543990006,0.10199163167099488,0.07270231315262131,0.2761419486156899,0.26320002822188043,0.8297415507434032,0.5910184329515276,1.403809284581221,0.21826493956392296,0.3693153670393811,0.8308055823313429,3.631949547344365,1.2019707963491129,0.6572269196395879,0.8469557399521267,0.4514345005929909,0.8935327515606978,0.2186964600995957,1,0,0
D1_1099_1,D1,1099.0,2.9845066359812273,0.5283258341525979,0.3479699142318796,0.7086817540733164,Tolerant,3.0,0.022316010279903733,0.114726659849328,0.0855691216229608,0.11088678042466397,0.07779513322708911,0.11098678042466399,0.1752083256101723,0.17346877972099284,0.17183873810771086,0.18750854103046308,0.21324952896857707,0.2564596963618166,0.4127943577422964,0.11352325653763393,0.5534052388859865,0.14601218663103094,-2.948056454912835,0.24019567564395114,-0.06461542916943983,0.06651511869276157,0.06735975985472678,0.07427464879061818,0.2529215611332046,0.29365965397117133,0.8955269765890703,0.9878719821559923,0.9067418274406465,0.26298040857017413,0.26629235098067083,0.8016449818297245,1.8223450252579032,1.5184972756212438,0.6648338780634077,0.8675225053833747,0.5439189910331317,1.0885656271907875,0.3462652848670061,0,1,0
D1_1110_3,D1,1110.1015512463005,3.032492013231593,0.22474769760879743,0.3379338270474818,0.09210018424801089,Sensitive,11.055092651741528,0.04660918072009197,0.15507080954804858,0.16759585605727848,0.142543444338215,0.09972016939909813,0.16788142493757857,0.23980830520180121,0.2826688739307245,0.2790556946981043,0.2848856743300852,0.2677245924130655,0.3324624856308633,0.47985571658570136,0.20366983934580069,0.5566498285504825,-0.043916676941651,-3.284088310085763,0.2970255150842377,0.033739012420736396,0.05848615458210064,0.07509492240659063,0.08586659834050354,0.16197408399823374,0.5246712121538686,0.6812397194062119,0.7805618386844709,0.8697847336811227,0.35519990029934206,0.4559384806570501,0.80493250656402,1.7708919986384408,1.4384940127432766,0.6762532609370566,0.8620368273578569,0.5419124869644086,1.028968086198962,0.3084631565779338,0,1,0
RD2_1252_2,RD2,1252.0,2.125724087284835,0.5746672551712988,0.6470500822891091,0.5022844280534884,Tolerant,1.0,0.04462639087239989,0.20276110298440456,0.18971060398381087,0.14888601373369661,0.12004268497739823,0.20387074403008482,0.3168068404900478,0.37273969978454713,0.41998630485101535,0.4213419059520853,0.3948309379925464,0.47520511876246874,0.5534765106160886,0.3432226781520214,0.6588560226584578,0.03330449994046766,-6.885473853521521,0.347648135205416,0.03257361915611631,0.07508600327366105,0.09467624901404588,0.09796122954924308,0.3062496402797995,0.31980433254558405,0.7753529534603907,0.7950194599989177,0.9720485284418567,0.2451822445079059,0.3091156906175323,0.8097013777946789,1.949096645638706,1.7840437826437678,0.7787474638489051,0.8543668434474107,0.5150482085883734,1.1958441276727863,0.3527734292378321,0,0,1
RD2_12_3,RD2,25.174379713102518,2.996791760869568,0.26566166424037907,0.2384625367680504,0.28566859436674547,Sensitive,9.015822735756293,0.05107364402610467,0.2058343559673297,0.201188649504923,0.17707740075641595,0.11258928771781235,0.17669589497412863,0.23279143783186143,0.3105426943313383,0.26719593375286516,0.25663486447990835,0.23922595338425054,0.1912463747139288,0.39644290277237154,0.10891387545862515,0.47904488960829944,0.017831800023784546,-1.9624979296783494,0.1137515821136534,0.047230663024288765,0.07167454364703095,0.1036247414105845,0.10155715731629632,0.26288424763505147,0.3912865415627459,0.7078226782418775,0.6969361760415806,1.0152261134548812,0.27577628188578035,0.39277449979663404,0.7799246850323855,0.9646742321939932,2.22588562954003,0.6595267041154932,0.8570390060475226,0.669116550799727,1.4730869574086192,0.6858649481794709,0,0,1
