iter	Passed	Remaining
0	1	603
1	2	514
2	2	454
3	3	426
4	4	407
5	4	391
6	5	381
7	6	372
8	6	367
9	7	360
10	7	355
11	8	351
12	9	347
13	9	344
14	10	342
15	11	339
16	11	339
17	12	338
18	13	337
19	14	336
20	14	334
21	15	333
22	15	331
23	16	330
24	17	328
25	18	328
26	18	326
27	19	325
28	19	324
29	20	326
30	21	326
31	22	326
32	22	324
33	23	323
34	24	321
35	25	322
36	25	322
37	26	320
38	27	319
39	27	319
40	28	318
41	29	318
42	29	316
43	30	315
44	31	317
45	32	318
46	32	317
47	33	317
48	34	316
49	35	315
50	35	313
51	36	312
52	36	311
53	37	309
54	38	308
55	38	307
56	39	305
57	39	304
58	40	303
59	41	301
60	41	302
61	42	302
62	43	301
63	44	299
64	44	299
65	45	298
66	46	297
67	46	296
68	47	295
69	47	294
70	48	293
71	49	293
72	49	292
73	50	291
74	51	289
75	51	289
76	52	288
77	53	287
78	53	285
79	54	284
80	54	284
81	55	283
82	56	283
83	57	283
84	57	282
85	58	281
86	59	281
87	60	281
88	60	280
89	61	279
90	62	278
91	62	278
92	63	277
93	64	277
94	64	276
95	65	275
96	65	274
97	66	273
98	67	272
99	68	272
100	68	271
101	69	270
102	70	269
103	70	269
104	71	268
105	72	268
106	72	267
107	73	267
108	74	266
109	74	265
110	75	264
111	76	263
112	76	263
113	77	261
114	77	260
115	78	260
116	79	259
117	80	259
118	80	258
119	81	258
120	82	257
121	82	256
122	83	256
123	84	256
124	85	256
125	86	256
126	86	255
127	87	254
128	88	254
129	89	254
130	89	253
131	90	252
132	91	251
133	91	251
134	92	250
135	93	249
136	93	248
137	94	248
138	95	247
139	96	247
140	96	246
141	97	245
142	98	245
143	98	244
144	99	244
145	100	243
146	101	243
147	101	242
148	102	241
149	103	241
150	104	240
151	104	239
152	105	238
153	106	238
154	106	237
155	107	237
156	108	236
157	108	235
158	109	234
159	110	234
160	110	233
161	111	232
162	112	231
163	112	231
164	113	230
165	114	229
166	114	228
167	115	228
168	116	227
169	116	226
170	117	225
171	118	225
172	118	224
173	119	224
174	120	223
175	120	222
176	121	221
177	122	221
178	123	220
179	123	220
180	124	219
181	125	218
182	125	217
183	126	217
184	127	216
185	127	215
186	128	214
187	129	214
188	129	213
189	130	213
190	131	212
191	131	211
192	132	210
193	133	210
194	133	209
195	134	208
196	135	208
197	136	207
198	136	206
199	137	206
200	138	205
201	138	204
202	139	204
203	140	203
204	140	202
205	141	202
206	142	201
207	143	201
208	143	200
209	144	199
210	145	199
211	146	198
212	146	197
213	147	197
214	148	196
215	148	195
216	149	195
217	150	194
218	150	193
219	151	192
220	152	192
221	152	191
222	153	190
223	154	190
224	155	189
225	155	188
226	156	188
227	157	187
228	157	186
229	158	186
230	159	185
231	160	185
232	161	184
233	161	184
234	162	183
235	163	182
236	164	182
237	164	181
238	165	180
239	165	179
240	166	178
241	167	178
242	167	177
243	168	176
244	169	176
245	169	175
246	170	174
247	171	173
248	171	173
249	172	172
250	173	171
251	173	171
252	174	170
253	175	169
254	176	169
255	176	168
256	177	167
257	178	167
258	179	166
259	179	165
260	180	165
261	180	164
262	181	163
263	182	162
264	182	162
265	183	161
266	184	160
267	184	159
268	185	159
269	185	158
270	186	157
271	187	156
272	187	156
273	188	155
274	189	154
275	189	153
276	190	153
277	191	152
278	191	151
279	192	151
280	193	150
281	193	149
282	194	148
283	195	148
284	195	147
285	196	147
286	197	146
287	198	145
288	198	145
289	199	144
290	199	143
291	200	142
292	201	142
293	201	141
294	202	140
295	203	139
296	203	139
297	204	138
298	204	137
299	205	136
300	206	136
301	207	135
302	207	135
303	208	134
304	209	133
305	210	133
306	210	132
307	211	131
308	212	131
309	213	130
310	213	130
311	214	129
312	215	128
313	216	128
314	216	127
315	217	126
316	218	125
317	218	125
318	219	124
319	220	123
320	220	123
321	221	122
322	221	121
323	222	120
324	223	120
325	223	119
326	224	118
327	225	118
328	225	117
329	226	116
330	227	116
331	228	115
332	229	114
333	229	114
334	230	113
335	231	112
336	232	112
337	232	111
338	233	110
339	233	110
340	234	109
341	235	108
342	235	107
343	236	107
344	236	106
345	237	105
346	238	105
347	239	104
348	239	103
349	240	103
350	241	102
351	241	101
352	242	101
353	243	100
354	244	99
355	245	99
356	245	98
357	246	97
358	247	97
359	247	96
360	248	95
361	249	94
362	249	94
363	250	93
364	251	92
365	251	92
366	252	91
367	253	90
368	253	90
369	254	89
370	255	88
371	255	87
372	256	87
373	256	86
374	257	85
375	258	85
376	258	84
377	259	83
378	260	83
379	260	82
380	261	81
381	261	80
382	262	80
383	263	79
384	263	78
385	264	78
386	265	77
387	265	76
388	266	76
389	267	75
390	267	74
391	268	73
392	269	73
393	269	72
394	270	71
395	271	71
396	271	70
397	272	69
398	273	69
399	273	68
400	274	67
401	274	67
402	275	66
403	276	65
404	276	64
405	277	64
406	277	63
407	278	62
408	278	62
409	279	61
410	280	60
411	280	59
412	281	59
413	281	58
414	282	57
415	282	57
416	283	56
417	284	55
418	285	55
419	285	54
420	286	53
421	287	53
422	287	52
423	288	51
424	289	51
425	290	50
426	290	49
427	291	48
428	291	48
429	292	47
430	293	46
431	293	46
