Feature,Mean,Std,Min,Max,Skewness,Kurtosis
R460,0.042052,0.008278,0.02224,0.06768,0.288,0.105
R520,0.170382,0.025805,0.11019,0.235168,-0.05,-0.315
R580,0.150799,0.038982,0.056031,0.250072,-0.121,-0.372
R660,0.142502,0.033802,0.060734,0.22738,0.043,-0.334
R710,0.095562,0.028189,0.040607,0.182046,0.345,-0.511
R730,0.168458,0.040939,0.077946,0.29358,0.083,0.008
R760,0.258845,0.068838,0.087711,0.452523,-0.102,-0.162
R780,0.289114,0.085845,0.077631,0.549849,0.169,0.07
R810,0.288922,0.104103,0.046723,0.596397,0.282,0.195
R850,0.303642,0.093946,0.112753,0.559628,0.262,-0.07
R900,0.288236,0.083808,0.094757,0.519671,0.229,0.272
D_conv,0.363664,0.132166,0.173093,0.574667,0.119,-1.373
D_stress,0.436753,0.161385,0.235334,0.688447,0.387,-1.461
D_recovery,0.290576,0.174075,0.075196,0.708682,0.818,0.276
BF(F440),0.069474,0.008731,0.046548,0.093187,0.132,-0.177
GF(F520),0.099929,0.023103,0.041315,0.163008,0.197,0.216
RF(F690),0.085523,0.01447,0.048201,0.119169,-0.139,-0.41
FrF(f740),0.273075,0.052357,0.124886,0.369131,-0.706,-0.079
OJIP_ABS_RC,2.001229,0.708404,1.284898,6.651037,3.066,15.081
OJIP_DIo_RC,0.536348,0.795935,0.223588,5.640539,5.649,31.938
OJIP_ETo_RC,0.679494,0.052004,0.59246,0.823733,0.823,0.531
OJIP_Fm,17799.311837,4000.137452,11383.893333,27221.5,0.508,-0.739
OJIP_Fo,3331.733468,552.609109,2342.504226,4651.502778,0.475,-0.436
OJIP_Fv,14454.394098,3628.868804,8425.022222,22569.997222,0.362,-0.88
OJIP_FvFm,0.802299,0.028525,0.688696,0.832356,-1.68,3.033
OJIP_N,19.551029,3.422843,12.630671,29.168489,0.427,-0.074
OJIP_PIabs,2.263146,1.055947,0.589974,4.728935,0.46,-0.676
OJIP_Sm,13.123633,1.766447,9.638015,17.878946,0.532,0.078
OJIP_TRo_RC,1.522083,0.308109,1.061313,2.23211,0.586,-0.661
OJIP_Vi,0.853003,0.018189,0.80729,0.881847,-0.762,0.028
OJIP_Vj,0.528703,0.068198,0.399652,0.70534,0.247,-0.686
OJIP_phiEo,0.382144,0.06234,0.232157,0.499456,-0.217,-0.787
OJIP_phiPo,0.802285,0.02852,0.688696,0.832319,-1.68,3.034
OJIP_psiEo,0.471265,0.068224,0.293178,0.600348,-0.251,-0.672
