Feature,Z_outliers,IQR_outliers,Min,Max,Mean,Std,Skewness,Kurtosis
OJIP_DIo_RC,3,8,0.2235877777777777,5.640538722222228,0.5363484326510118,0.7959349353170793,5.649277993854671,31.938013714115293
OJIP_phiPo,2,9,0.6886959336724052,0.8323188888888889,0.8022850473761453,0.02852000174108674,-1.6799599463044157,3.0341103811853634
OJIP_FvFm,2,9,0.6886959336724052,0.8323555555555555,0.802298606954905,0.028524633589515402,-1.6797235009780995,3.0334752442881836
OJIP_ABS_RC,1,5,1.2848983333333333,6.651036759259258,2.001229248180956,0.7084037532675672,3.0662658709809993,15.080600603775391
R460,1,1,0.022240194838103,0.067680333993103,0.042052384615384526,0.008278140464741098,0.28772353226411257,0.10516486187394802
R780,1,1,0.0776312175938356,0.5498493522385941,0.28911367750738476,0.08584479306768722,0.16885988635207697,0.07008587992684712
R730,1,1,0.0779457257104755,0.293580273546386,0.16845839911586288,0.040939439557281805,0.08344045720110091,0.008256231008342052
R710,1,0,0.0406073236548513,0.1820464883501368,0.09556187996791754,0.02818859156664574,0.34521655827631276,-0.511206951274426
R810,0,1,0.0467229617970548,0.59639723090907,0.2889223054919988,0.10410300117679308,0.28168672370958453,0.19492022350861138
R850,0,3,0.1127527052968009,0.5596278597477349,0.3036416918366159,0.09394634645439431,0.26226268873223674,-0.06968799601917164
R900,0,4,0.0947573058693205,0.519671142155496,0.28823592844068535,0.08380844478352233,0.22906025033169863,0.2723224457329936
GF(F520),0,1,0.041314570619818,0.1630082276557976,0.09992854249935075,0.02310305363791943,0.19743624655055916,0.21626906770427556
R660,0,1,0.0607339703746073,0.2273802460588843,0.14250197316081312,0.03380232532405823,0.043017339545820744,-0.33392855190341475
OJIP_ETo_RC,0,9,0.5924597222222222,0.8237332941176471,0.6794935985321615,0.052003753334480665,0.8229395000167324,0.5314574473641511
OJIP_N,0,2,12.630670893393392,29.168489130380387,19.55102854445245,3.4228426917606027,0.4266202390945956,-0.0738437622555006
OJIP_Sm,0,2,9.638015277777775,17.878945555555557,13.123633079393969,1.7664471472712593,0.5322606545711618,0.07762199506002565
OJIP_Vi,0,4,0.8072900225225226,0.8818470714285714,0.8530025483413024,0.018188586711185322,-0.7618695458882584,0.02837564828903183
FrF(f740),0,2,0.1248860510907591,0.3691305806592898,0.2730745117516886,0.05235735973862816,-0.7064944400902797,-0.0786212261272965
