Feature1,Modality1,Feature2,Modality2,Interaction,Is_Cross_Modal
OJIP_FvFm,OJIP,OJIP_Vi,OJIP,0.0020681332984422546,False
BF(F440),Static,OJIP_Vi,OJIP,0.0012962725269613329,True
BF(F440),Static,SR_F440_F520,Static,0.0012775085671557142,False
SR_F440_F520,Static,OJIP_Vi,OJIP,0.0007430387974215007,True
R730,Multi,OJIP_Vi,OJIP,0.0007127407487524432,True
BF(F440),Static,OJIP_FvFm,OJIP,0.0006826501869381837,True
OJIP_ETo_RC,OJIP,OJIP_Vi,OJIP,0.0006741906430248416,False
R810,Multi,OJIP_Vi,OJIP,0.0006394916197355387,True
VI_PRI,Multi,SR_F520_F690,Static,0.0005927693617849666,True
SR_F440_F690,Static,OJIP_FvFm,OJIP,0.0005780061231519099,True
BF(F440),Static,GF(F520),Static,0.0005394248636195245,False
FrF(f740),Static,OJIP_Vi,OJIP,0.0005204164774844168,True
VI_MTCI,Multi,SR_F440_F690,Static,0.0005127787682571221,True
RF(F690),Static,OJIP_Vi,OJIP,0.000502559901663036,True
OJIP_FvFm,OJIP,OJIP_Vj,OJIP,0.00049565095709679,False
SR_F440_F520,Static,OJIP_FvFm,OJIP,0.0004727339808433707,True
R520,Multi,OJIP_Vi,OJIP,0.0004711370913972611,True
VI_NDVI,Multi,OJIP_FvFm,OJIP,0.0004687198833908615,True
OJIP_FvFm,OJIP,OJIP_DIo_RC_log,OJIP,0.0004643746997101383,False
GF(F520),Static,OJIP_FvFm,OJIP,0.0004396713790183185,True
VI_MTCI,Multi,OJIP_Vi,OJIP,0.0004361472684538484,True
SR_F440_F520,Static,OJIP_ETo_RC,OJIP,0.0004204114579358161,True
SR_F520_F740,Static,OJIP_Vi,OJIP,0.00038860798945999773,True
BF(F440),Static,OJIP_DIo_RC_log,OJIP,0.0003846981674726532,True
OJIP_FvFm,OJIP,OJIP_ETo_RC,OJIP,0.00037777400358816415,False
R580,Multi,OJIP_Vi,OJIP,0.00035927066690683143,True
VI_PRI,Multi,OJIP_Vi,OJIP,0.0003574227050968669,True
