,R460,R520,R580,R660,R710,R730,R760,R780,R810,R850,R900,VI_NDVI,VI_NDRE,VI_EVI,VI_SIPI,VI_PRI,VI_MTCI,VI_GNDVI,VI_NDWI,BF(F440),GF(F520),RF(F690),FrF(f740),SR_F690_F740,SR_F440_F690,SR_F440_F520,SR_F520_F690,SR_F440_F740,SR_F520_F740,OJIP_FvFm,OJIP_PIabs,OJIP_TRo_RC,OJIP_ETo_RC,OJIP_Vi,OJIP_Vj,OJIP_ABS_RC_log,OJIP_DIo_RC_log
R460,0.0004832173871299237,1.7338014413494492e-05,1.0422658235223224e-05,5.562788999596907e-07,2.6251189601795235e-05,0.0,6.0748642588102436e-06,0.0,1.315474486748196e-05,0.0,0.0001600544862307304,5.9480543761471424e-05,1.4197616821204834e-05,7.492427505042042e-05,0.0,3.36746298488938e-05,9.49531173223404e-06,5.896765728892607e-06,0.0001522255610322326,3.7702219570785394e-05,0.00015323877602341245,3.700586778511293e-05,7.998818318861775e-05,4.521125944954225e-06,0.00013139311451576609,5.715223572753815e-05,2.0799541371468845e-05,7.319445962261512e-06,1.4157684987129044e-05,9.411340622885924e-05,2.3047928225271936e-05,3.491065393678231e-05,0.00027070592398023964,8.092599270344912e-05,5.487209049765119e-06,0.0,1.0072718960506833e-05
R520,1.7338014413494462e-05,0.00244607070928466,6.757197743470276e-05,1.8062458184030601e-06,0.0,5.015675577151952e-06,1.0002915097025041e-06,0.0,0.0002970298252279537,0.0,0.0,0.00012777213640842628,9.030788155232974e-06,0.0,0.0,0.0,0.0,1.265901246168835e-07,0.00012793566626529822,0.00026146698241795425,4.518314956634254e-08,2.3781903728090228e-08,7.58275475036853e-06,0.0,6.717192382228325e-05,0.0,4.741284401508025e-06,5.6820295126332625e-06,9.672039424275535e-05,0.0003226913899061011,1.4704347987232695e-06,0.0,5.524032038847811e-05,0.0004711370913972611,2.79168329326346e-06,1.2524525346946745e-07,0.00011908763628844083
R580,1.0422658235223243e-05,6.757197743470274e-05,0.0014446284898244623,0.0,9.637958167083366e-06,0.0,0.0,0.0,1.2902733799823649e-05,5.73599957124915e-05,0.0,0.0,0.0,0.0,0.0,3.104976772418911e-05,0.0,0.0,0.0,0.00013240448312082481,4.2451702741453405e-05,0.0,0.0,0.0,0.00011778742639602064,5.721487101539318e-05,0.0,0.0,0.00012540013044244126,4.2688721020845245e-05,0.0,3.7699449401016433e-05,0.00023500186715793187,0.00035927066690683143,0.0,0.0,0.0
R660,5.562788999596889e-07,1.806245818403082e-06,0.0,0.00046893351178631167,0.0,0.0,0.0,0.0,1.8121303647611603e-05,0.0,1.7046061899962977e-07,6.218189576048468e-06,0.0,1.1226577487201866e-05,0.0,4.186278262426324e-05,0.0,0.0,6.44050344225739e-05,8.28755276603155e-05,8.856245144276464e-05,7.014188740472876e-08,1.0924483413123953e-06,0.0,7.144110981982891e-05,6.4096494123683e-05,3.8568795042177635e-05,0.0,1.353560190574981e-07,9.128339104146337e-05,1.1132800151834748e-06,8.731743872037933e-05,7.262072003665876e-07,3.430902959334087e-05,1.332392164819784e-06,1.150785585429714e-06,1.5619988537266825e-06
R710,2.625118960179522e-05,0.0,9.63795816708337e-06,0.0,0.0004914588690203242,1.54608139521217e-06,5.080975929928101e-06,2.729728677724245e-07,0.0,0.0,0.0,6.334577978384795e-06,2.4813978244170552e-05,6.761975134113181e-06,0.0,3.018304233235231e-05,3.0528952673304584e-06,4.498357820533141e-05,6.54332174339987e-05,0.00013492365923794893,4.359614974748515e-05,1.0528965962893354e-05,3.9919286367304575e-06,8.267110473604381e-06,0.0,7.157312409855718e-05,1.4086510959047046e-05,0.0,9.947677569918252e-05,0.0001251379575632515,0.0,1.2279416366362094e-05,7.204839880477723e-05,0.00017909460613846535,0.0,9.605180924088934e-07,2.164868796535096e-05
R730,0.0,5.0156755771519195e-06,0.0,0.0,1.546081395212159e-06,0.0018903735747545622,0.00010636724321325126,0.0,0.00028092049494063995,0.0,9.222499379015855e-06,0.0,5.266770933571545e-05,1.379658895929996e-05,0.0,5.774328446646169e-05,0.0,2.5489903379550195e-05,0.00016907192241408966,0.00020847274250396233,1.239672867626914e-05,2.3007301449681415e-05,0.00023877628808767828,1.3511110569207588e-05,7.248112263749342e-05,0.00015756902648890908,1.5257362534480853e-05,1.6761900754563187e-05,2.0693440015712184e-05,0.0002597244656891822,6.692216763689634e-07,7.00457801435945e-06,0.00014632954950984719,0.0007127407487524432,5.421706911644657e-07,0.00014225513154888294,2.0427903075241747e-06
R760,6.0748642588102546e-06,1.000291509702477e-06,0.0,0.0,5.080975929928118e-06,0.00010636724321325132,0.0004597425499224488,3.122375267433659e-05,0.0,0.0,1.0203151645751856e-07,0.0,0.00011770231141257709,0.0,0.0,0.0,4.7475541217475404e-06,0.0,4.910371920697379e-05,0.0001479287139419604,5.098317610284786e-05,3.664567712523209e-08,3.321264394922726e-05,0.0,7.04565043283969e-05,4.137957763930502e-05,1.000305248454978e-05,9.363415232871809e-05,5.704597499746983e-08,8.791706402651096e-07,1.5114518780101014e-05,2.1586417706540082e-08,4.7047508745255855e-05,7.301108976230385e-05,6.291584108280546e-07,0.0,1.3393319585306724e-06
R780,0.0,0.0,0.0,0.0,2.7297286777243207e-07,0.0,3.122375267433664e-05,0.0011270895669680638,8.88399007733818e-05,0.0,0.0,0.0,5.091117076614144e-05,5.750265586925103e-06,0.0,3.8107026255627737e-06,0.0001939791440486983,0.0,0.0,3.072717263625095e-05,0.0,0.0,6.456071151096926e-05,0.0,0.0001232010627544487,0.00010229474248444146,7.436522569825033e-05,0.0,9.02088718914633e-05,2.401604950202611e-05,1.9069753134200951e-06,0.0,6.165650267407586e-05,0.00017177595308862057,4.5612348398678215e-08,0.0,4.7205202131242475e-05
R810,1.3154744867481957e-05,0.00029702982522795355,1.290273379982366e-05,1.8121303647611617e-05,0.0,0.00028092049494064005,0.0,8.883990077338181e-05,0.00286960467710914,2.6556187551010676e-05,5.9978686077163926e-05,0.00018815921614071492,0.0,0.0,1.4780603011538757e-05,2.7438274523464823e-05,0.00013724880917088535,0.0,0.00010737740539651449,3.292380994852388e-05,0.00010505645326028399,1.3650760356460584e-05,5.3597514280517717e-05,0.00010483027871113989,0.00015610952207622725,8.577771495273275e-05,4.009188419282052e-05,0.0,0.00012503629374218785,0.00012692507631824272,0.0,3.938203691471429e-05,0.0002547126289430517,0.0006394916197355387,0.0,0.0,0.0
R850,0.0,0.0,5.73599957124915e-05,0.0,0.0,0.0,0.0,0.0,2.6556187551010663e-05,0.0004879403530044496,0.0,0.00019627459850313998,7.661284559663157e-05,0.0,0.0,1.944089212527024e-05,0.0,0.0,0.0,2.3902360397808913e-05,0.0,0.0,7.435182303825468e-05,1.3616275939552728e-05,6.92813232849464e-05,5.982668397735761e-05,1.8400080961756315e-05,8.221353640836923e-05,3.030646768793483e-06,4.969869184315161e-05,0.0,0.0,5.0902139347574686e-05,0.0001475456158695158,0.0,5.30736231359221e-05,0.0
