Rank,Feature,Group,Importance
1,OJIP_Vi,OJIP,0.045441
2,OJIP_FvFm,OJIP,0.025331
3,BF(F440),Static,0.016337
4,SR_F440_F520,Static_Ratio,0.013164
5,OJIP_ETo_RC,OJIP,0.012175
6,SR_F440_F690,Static_Ratio,0.005816
7,VI_MTCI,VI,0.004642
8,VI_SIPI,VI,0.003805
9,FrF(f740),Static,0.003694
10,R780,Multi,0.003038
11,SR_F520_F740,Static_Ratio,0.002806
12,GF(F520),Static,0.002658
13,R810,Multi,0.002616
14,VI_NDWI,VI,0.002573
15,VI_EVI,VI,0.002308
16,SR_F520_F690,Static_Ratio,0.002283
17,VI_GNDVI,VI,0.002127
18,RF(F690),Static,0.002053
19,OJIP_TRo_RC,OJIP,0.001975
20,OJIP_ABS_RC_log,OJIP,0.001851
21,VI_PRI,VI,0.001616
22,VI_NDRE,VI,0.001534
23,SR_F440_F740,Static_Ratio,0.001481
24,R760,Multi,0.001398
25,R900,Multi,0.001322
26,R730,Multi,0.001192
27,R850,Multi,0.00119
28,OJIP_PIabs,OJIP,0.001153
29,R710,Multi,0.001137
30,OJIP_Vj,OJIP,0.001121
31,OJIP_DIo_RC_log,OJIP,0.001061
32,R660,Multi,0.000986
33,R460,Multi,0.000895
34,VI_NDVI,VI,0.000816
35,SR_F690_F740,Static_Ratio,0.000807
36,R580,Multi,0.00068
37,R520,Multi,0.000434
