Rank,Feature,Group,Importance,Physiology
1,OJIP_Vi,OJIP,0.045441,I相相对荧光，PQ池氧化还原状态
2,OJIP_FvFm,OJIP,0.025331,PSII最大光化学效率，直接反映PSII损伤程度
3,BF(F440),Static,0.016337,蓝色荧光，与酚类化合物和细胞壁相关
4,SR_F440_F520,Static_Ratio,0.013164,蓝/绿荧光比，多酚类物质积累
5,OJIP_ETo_RC,OJIP,0.012175,每RC电子传递，电子传递链活性
6,SR_F440_F690,Static_Ratio,0.005816,蓝/红荧光比，胁迫敏感指标
7,VI_MTCI,VI,0.004642,叶绿素红边指数，叶绿素含量敏感指标
8,VI_SIPI,VI,0.003805,结构不敏感色素指数，类胡萝卜素/叶绿素比
9,FrF(f740),Static,0.003694,远红荧光，叶绿素荧光次峰
10,R780,Multi,0.003038,近红外平台起始
11,SR_F520_F740,Static_Ratio,0.002806,绿/远红荧光比
12,GF(F520),Static,0.002658,绿色荧光，与类黄酮等次生代谢物相关
13,R810,Multi,0.002616,近红外平台
14,VI_NDWI,VI,0.002573,归一化水分指数，反映植物水分状态
15,VI_EVI,VI,0.002308,增强植被指数，减少大气和土壤背景影响
16,SR_F520_F690,Static_Ratio,0.002283,绿/红荧光比
17,VI_GNDVI,VI,0.002127,绿色NDVI，对叶绿素变化更敏感
18,RF(F690),Static,0.002053,红色荧光，叶绿素荧光主峰
19,OJIP_TRo_RC,OJIP,0.001975,每RC捕获能量，能量捕获效率
20,OJIP_ABS_RC_log,OJIP,0.001851,每反应中心吸收光能，RC失活时增加
21,VI_PRI,VI,0.001616,光化学反射指数，反映光合效率和叶黄素循环
22,VI_NDRE,VI,0.001534,红边归一化指数，敏感反映叶绿素含量
23,SR_F440_F740,Static_Ratio,0.001481,蓝/远红荧光比
24,R760,Multi,0.001398,红边结束
25,R900,Multi,0.001322,近红外平台/水分吸收
26,R730,Multi,0.001192,红边中点
27,R850,Multi,0.00119,近红外平台
28,OJIP_PIabs,OJIP,0.001153,综合性能指数，整合光能吸收、捕获、电子传递
29,R710,Multi,0.001137,红边起始
30,OJIP_Vj,OJIP,0.001121,J相相对荧光，QA累积程度
31,OJIP_DIo_RC_log,OJIP,0.001061,每RC热耗散，过剩能量耗散保护机制
32,R660,Multi,0.000986,红光反射率，叶绿素吸收峰
33,R460,Multi,0.000895,蓝光反射率，叶绿素吸收峰
34,VI_NDVI,VI,0.000816,归一化植被指数，反映植被覆盖和活力
35,SR_F690_F740,Static_Ratio,0.000807,红/远红荧光比，叶绿素荧光重吸收效应
36,R580,Multi,0.00068,黄光反射率
37,R520,Multi,0.000434,绿光反射率，绿峰
